Open	High	Low	Close	Volume	Date
364.41	365.32	353.02	353.63	57434903	2020-06-26 04:00:00+00:00
353.25	362.1736	351.28	361.78	34743565	2020-06-29 04:00:00+00:00
360.08	365.98	360.0	364.8	38837378	2020-06-30 04:00:00+00:00
365.12	367.36	363.91	364.11	29162121	2020-07-01 04:00:00+00:00
367.85	370.47	363.64	364.11	30469982	2020-07-02 04:00:00+00:00
370.0	375.78	369.87	373.85	31864335	2020-07-06 04:00:00+00:00
375.41	378.62	372.23	372.69	30144964	2020-07-07 04:00:00+00:00
376.72	381.5	376.36	381.37	31537366	2020-07-08 04:00:00+00:00
385.05	385.27	378.69	382.73	32757048	2020-07-09 04:00:00+00:00
381.34	383.92	378.8207	383.68	23968047	2020-07-10 04:00:00+00:00
389.06	399.82	381.03	381.91	50457372	2020-07-13 04:00:00+00:00
379.36	389.02	375.51	388.23	45031939	2020-07-14 04:00:00+00:00
395.96	396.99	385.96	390.9	39857859	2020-07-15 04:00:00+00:00
386.25	389.62	383.62	386.09	29086322	2020-07-16 04:00:00+00:00
387.95	388.59	383.36	385.31	25703761	2020-07-17 04:00:00+00:00
385.665	394.0	384.25	393.43	24596920	2020-07-20 04:00:00+00:00
396.69	397.0	386.97	388.0	27837037	2020-07-21 04:00:00+00:00
386.77	391.9	386.41	389.09	23491624	2020-07-22 04:00:00+00:00
387.9935	388.31	368.039	371.38	51496741	2020-07-23 04:00:00+00:00
363.95	371.88	356.58	370.46	47711250	2020-07-24 04:00:00+00:00
374.84	379.62	373.92	379.24	32395539	2020-07-27 04:00:00+00:00
377.47	378.1986	372.99	373.01	27508071	2020-07-28 04:00:00+00:00
375.0	380.92	374.85	380.16	23696778	2020-07-29 04:00:00+00:00
376.75	385.19	375.07	384.76	40595969	2020-07-30 04:00:00+00:00
411.535	425.66	403.3	425.04	98288452	2020-07-31 04:00:00+00:00
432.8	446.5457	431.57	435.75	80004478	2020-08-03 04:00:00+00:00
436.51	443.16	433.55	438.66	45021533	2020-08-04 04:00:00+00:00
437.51	441.57	435.59	440.25	32190632	2020-08-05 04:00:00+00:00
441.62	457.65	439.19	455.61	52402178	2020-08-06 04:00:00+00:00
452.82	454.7	441.17	444.45	51189744	2020-08-07 04:00:00+00:00
450.325	455.1	440.0	450.91	55050093	2020-08-10 04:00:00+00:00
447.875	449.93	436.4267	437.5	49648461	2020-08-11 04:00:00+00:00
441.99	453.1	441.19	452.04	43580278	2020-08-12 04:00:00+00:00
457.72	464.17	455.71	460.04	53862056	2020-08-13 04:00:00+00:00
459.315	460.0	452.18	459.63	42745092	2020-08-14 04:00:00+00:00
464.25	464.35	455.8501	458.43	31962550	2020-08-17 04:00:00+00:00
457.41	464.0	456.03	462.25	27786408	2020-08-18 04:00:00+00:00
463.933	468.65	462.44	462.83	38353086	2020-08-19 04:00:00+00:00
463.0	473.568	462.9335	473.1	33346574	2020-08-20 04:00:00+00:00
477.05	499.472	477.0	497.48	87150058	2020-08-21 04:00:00+00:00
514.79	515.14	495.745	503.43	89111099	2020-08-24 04:00:00+00:00
498.79	500.7172	492.21	499.3	54732241	2020-08-25 04:00:00+00:00
504.7165	507.97	500.33	506.09	42685290	2020-08-26 04:00:00+00:00
508.57	509.94	495.33	500.04	40425833	2020-08-27 04:00:00+00:00
504.05	505.77	498.31	499.23	53137957	2020-08-28 04:00:00+00:00
127.39	131.0	126.0	129.04	243737082	2020-08-31 04:00:00+00:00
132.76	134.8	130.53	134.18	162353762	2020-09-01 04:00:00+00:00
137.59	137.98	127.0	131.4	210023657	2020-09-02 04:00:00+00:00
126.91	128.84	120.5	120.88	274068039	2020-09-03 04:00:00+00:00
120.1	123.7	110.89	120.96	344528755	2020-09-04 04:00:00+00:00
114.16	118.99	112.68	112.82	245981952	2020-09-08 04:00:00+00:00
117.26	119.14	115.26	117.32	190263275	2020-09-09 04:00:00+00:00
120.36	120.5	112.5	113.42	192230707	2020-09-10 04:00:00+00:00
114.57	115.23	110.0	112.0	187577679	2020-09-11 04:00:00+00:00
114.72	115.93	112.8	115.355	150551407	2020-09-14 04:00:00+00:00
118.33	118.829	113.61	115.54	191579878	2020-09-15 04:00:00+00:00
115.23	116.0	112.04	112.17	164670212	2020-09-16 04:00:00+00:00
109.72	112.2	108.71	110.34	190122929	2020-09-17 04:00:00+00:00
110.4	110.88	106.09	106.84	357020901	2020-09-18 04:00:00+00:00
104.54	110.19	103.1	110.08	205844757	2020-09-21 04:00:00+00:00
112.68	112.86	109.16	111.81	192504491	2020-09-22 04:00:00+00:00
111.62	112.11	106.77	107.12	164847647	2020-09-23 04:00:00+00:00
105.17	110.25	105.0	108.22	175839103	2020-09-24 04:00:00+00:00
108.43	112.44	107.67	112.29	158260959	2020-09-25 04:00:00+00:00
114.98	115.32	112.78	114.96	147526994	2020-09-28 04:00:00+00:00
114.55	115.31	113.57	114.09	104574095	2020-09-29 04:00:00+00:00
113.79	117.26	113.62	115.81	157275023	2020-09-30 04:00:00+00:00
117.64	117.72	115.83	116.85	124794872	2020-10-01 04:00:00+00:00
112.89	115.37	112.22	113.02	152739147	2020-10-02 04:00:00+00:00
113.91	116.65	113.55	116.5	112645483	2020-10-05 04:00:00+00:00
115.7	116.12	112.25	113.16	169071691	2020-10-06 04:00:00+00:00
114.62	115.55	114.13	115.08	103682766	2020-10-07 04:00:00+00:00
116.25	116.4	114.5901	114.97	87991510	2020-10-08 04:00:00+00:00
115.28	117.0	114.92	116.97	106378271	2020-10-09 04:00:00+00:00
120.06	125.18	119.2845	124.42	254085140	2020-10-12 04:00:00+00:00
125.27	125.39	119.65	121.1	270930939	2020-10-13 04:00:00+00:00
121.0	123.03	119.62	121.19	158150251	2020-10-14 04:00:00+00:00
118.72	121.2	118.15	120.71	118880241	2020-10-15 04:00:00+00:00
121.28	121.548	118.81	119.02	125949490	2020-10-16 04:00:00+00:00
119.96	120.419	115.66	115.98	127538434	2020-10-19 04:00:00+00:00
116.2	118.98	115.63	117.51	130360478	2020-10-20 04:00:00+00:00
116.67	118.705	116.45	116.87	96688953	2020-10-21 04:00:00+00:00
117.45	118.04	114.59	115.75	107118588	2020-10-22 04:00:00+00:00
116.39	116.55	114.28	115.04	85924016	2020-10-23 04:00:00+00:00
114.01	116.55	112.88	115.05	119512225	2020-10-26 04:00:00+00:00
115.49	117.28	114.5399	116.6	97977577	2020-10-27 04:00:00+00:00
115.05	115.43	111.1	111.2	155989903	2020-10-28 04:00:00+00:00
112.37	116.93	112.2	115.32	154115865	2020-10-29 04:00:00+00:00
111.06	111.99	107.72	108.86	201474528	2020-10-30 04:00:00+00:00
109.11	110.68	107.32	108.77	129169579	2020-11-02 05:00:00+00:00
109.66	111.49	108.73	110.44	114030391	2020-11-03 05:00:00+00:00
114.05	115.59	112.35	114.95	148351201	2020-11-04 05:00:00+00:00
117.95	119.62	116.8686	119.03	134891975	2020-11-05 05:00:00+00:00
118.32	119.2	116.13	118.69	121818881	2020-11-06 05:00:00+00:00
120.5	121.99	116.05	116.32	165715048	2020-11-09 05:00:00+00:00
115.55	117.59	114.13	116.0	144162367	2020-11-10 05:00:00+00:00
117.19	119.63	116.44	119.49	118291874	2020-11-11 05:00:00+00:00
119.62	120.53	118.57	119.21	108671816	2020-11-12 05:00:00+00:00
119.44	119.6717	117.87	119.26	87008083	2020-11-13 05:00:00+00:00
118.92	120.99	118.146	120.3	97343396	2020-11-16 05:00:00+00:00
119.55	120.6741	118.96	119.39	81552609	2020-11-17 05:00:00+00:00
118.61	119.82	118.0	118.03	82343800	2020-11-18 05:00:00+00:00
117.59	119.06	116.81	118.64	80019961	2020-11-19 05:00:00+00:00
118.65	118.77	117.29	117.34	81429508	2020-11-20 05:00:00+00:00
117.18	117.6202	113.75	113.85	133961778	2020-11-23 05:00:00+00:00
113.91	115.85	112.59	115.17	123577869	2020-11-24 05:00:00+00:00
115.55	116.75	115.17	116.03	81933305	2020-11-25 05:00:00+00:00
116.57	117.49	116.22	116.59	49861063	2020-11-27 05:00:00+00:00
116.97	120.97	116.81	119.05	195962985	2020-11-30 05:00:00+00:00
121.01	123.4693	120.01	122.72	135963748	2020-12-01 05:00:00+00:00
122.02	123.37	120.89	123.08	95468629	2020-12-02 05:00:00+00:00
123.52	123.78	122.21	122.94	85569069	2020-12-03 05:00:00+00:00
122.6	122.8608	121.52	122.25	83912960	2020-12-04 05:00:00+00:00
122.31	124.57	122.25	123.75	93919235	2020-12-07 05:00:00+00:00
124.37	124.98	123.09	124.38	88607492	2020-12-08 05:00:00+00:00
124.53	125.95	121.0	121.68	126595910	2020-12-09 05:00:00+00:00
120.5	123.87	120.15	123.24	89204178	2020-12-10 05:00:00+00:00
122.43	122.76	120.55	122.41	94581629	2020-12-11 05:00:00+00:00
122.6	123.35	121.54	121.78	92768465	2020-12-14 05:00:00+00:00
124.34	127.9	124.13	127.88	168623599	2020-12-15 05:00:00+00:00
127.41	128.37	126.56	127.81	107903885	2020-12-16 05:00:00+00:00
128.9	129.58	128.045	128.7	102871084	2020-12-17 05:00:00+00:00
128.96	129.1	126.12	126.655	272790167	2020-12-18 05:00:00+00:00
125.02	128.31	123.449	128.23	131759645	2020-12-21 05:00:00+00:00
131.61	134.405	129.65	131.88	177730374	2020-12-22 05:00:00+00:00
132.16	132.43	130.78	130.96	96689113	2020-12-23 05:00:00+00:00
131.32	133.46	131.1	131.97	56888726	2020-12-24 05:00:00+00:00
133.99	137.34	133.51	136.69	131183580	2020-12-28 05:00:00+00:00
138.04	138.789	134.3409	134.87	126214348	2020-12-29 05:00:00+00:00
135.58	135.99	133.4	133.72	100802947	2020-12-30 05:00:00+00:00
134.08	134.74	131.72	132.69	110149923	2020-12-31 05:00:00+00:00
133.52	133.6116	126.76	129.41	158211374	2021-01-04 05:00:00+00:00
128.89	131.74	128.43	131.01	105863439	2021-01-05 05:00:00+00:00
127.72	131.0499	126.382	126.66	165568781	2021-01-06 05:00:00+00:00
128.36	131.63	127.86	130.92	118743769	2021-01-07 05:00:00+00:00
132.43	132.63	130.23	132.05	112696090	2021-01-08 05:00:00+00:00
129.19	130.17	128.5	128.98	110450551	2021-01-11 05:00:00+00:00
128.5	129.69	126.86	128.8	97558551	2021-01-12 05:00:00+00:00
128.76	131.45	128.49	130.89	96442760	2021-01-13 05:00:00+00:00
130.8	131.0	128.76	128.91	97691724	2021-01-14 05:00:00+00:00
128.83	130.2242	127.0	127.14	128048933	2021-01-15 05:00:00+00:00
127.78	128.71	126.938	127.83	98953322	2021-01-19 05:00:00+00:00
128.66	132.49	128.55	132.03	113947702	2021-01-20 05:00:00+00:00
133.8	139.67	133.59	136.87	127940803	2021-01-21 05:00:00+00:00
136.28	139.85	135.02	139.07	121203430	2021-01-22 05:00:00+00:00
143.07	145.09	136.54	142.92	164986731	2021-01-25 05:00:00+00:00
143.6	144.3	141.37	143.16	103714054	2021-01-26 05:00:00+00:00
143.43	144.3	140.41	142.06	152725672	2021-01-27 05:00:00+00:00
139.52	141.99	136.7	137.09	152449730	2021-01-28 05:00:00+00:00
135.83	136.74	130.21	131.96	187694057	2021-01-29 05:00:00+00:00
133.75	135.38	130.93	134.1	114159323	2021-02-01 05:00:00+00:00
135.73	136.31	134.61	134.99	89799845	2021-02-02 05:00:00+00:00
135.76	135.77	133.61	133.94	96429152	2021-02-03 05:00:00+00:00
136.3	137.4	134.59	137.39	90780419	2021-02-04 05:00:00+00:00
137.35	137.42	135.86	136.76	80015037	2021-02-05 05:00:00+00:00
136.03	136.96	134.92	136.91	76760213	2021-02-08 05:00:00+00:00
136.62	137.877	135.85	136.01	81202869	2021-02-09 05:00:00+00:00
136.48	136.99	134.4	135.39	77577773	2021-02-10 05:00:00+00:00
135.9	136.39	133.77	135.13	68440629	2021-02-11 05:00:00+00:00
134.34	135.53	133.6921	135.37	65213313	2021-02-12 05:00:00+00:00
135.46	136.01	132.79	133.19	86485313	2021-02-16 05:00:00+00:00
131.25	132.22	129.47	130.84	103369066	2021-02-17 05:00:00+00:00
129.2	129.995	127.41	129.71	102110455	2021-02-18 05:00:00+00:00
130.24	130.71	128.8	129.87	95894715	2021-02-19 05:00:00+00:00
128.01	129.72	125.6	126.0	111809173	2021-02-22 05:00:00+00:00
123.76	126.71	118.39	125.86	164346364	2021-02-23 05:00:00+00:00
124.94	125.56	122.23	125.35	117486364	2021-02-24 05:00:00+00:00
124.68	126.4585	120.54	121.0	156694180	2021-02-25 05:00:00+00:00
122.58	124.85	121.2	121.26	182034189	2021-02-26 05:00:00+00:00
123.75	127.93	122.79	127.79	125589785	2021-03-01 05:00:00+00:00
128.4	128.72	125.01	125.12	109652943	2021-03-02 05:00:00+00:00
124.81	125.71	121.84	122.06	121248253	2021-03-03 05:00:00+00:00
121.75	123.6	118.62	120.13	185434303	2021-03-04 05:00:00+00:00
120.98	121.935	117.57	121.42	161638253	2021-03-05 05:00:00+00:00
120.93	121.0	116.21	116.36	163528340	2021-03-08 05:00:00+00:00
119.03	122.06	118.79	121.085	140118332	2021-03-09 05:00:00+00:00
121.69	122.17	119.45	119.98	117237978	2021-03-10 05:00:00+00:00
122.54	123.21	121.26	121.96	110029338	2021-03-11 05:00:00+00:00
120.4	121.17	119.16	121.05	92882164	2021-03-12 05:00:00+00:00
121.41	124.0	120.42	123.99	101152740	2021-03-15 04:00:00+00:00
125.7	127.22	124.715	125.57	120079103	2021-03-16 04:00:00+00:00
124.05	125.8599	122.336	124.76	119061026	2021-03-17 04:00:00+00:00
122.88	123.18	120.32	120.53	131210927	2021-03-18 04:00:00+00:00
119.9	121.43	119.675	119.99	240162615	2021-03-19 04:00:00+00:00
120.33	123.87	120.26	123.39	122779025	2021-03-22 04:00:00+00:00
123.33	124.24	122.14	122.54	103620192	2021-03-23 04:00:00+00:00
122.82	122.9	120.065	120.09	94149863	2021-03-24 04:00:00+00:00
119.54	121.66	119.0	120.59	105125706	2021-03-25 04:00:00+00:00
120.35	121.48	118.92	121.21	100931995	2021-03-26 04:00:00+00:00
121.65	122.58	120.7299	121.39	86216952	2021-03-29 04:00:00+00:00
120.11	120.4031	118.86	119.9	91640500	2021-03-30 04:00:00+00:00
121.65	123.52	121.15	122.15	133199283	2021-03-31 04:00:00+00:00
123.66	124.18	122.49	123.0	80479798	2021-04-01 04:00:00+00:00
123.87	126.1601	123.07	125.9	94661534	2021-04-05 04:00:00+00:00
126.5	127.13	125.65	126.21	86151139	2021-04-06 04:00:00+00:00
125.83	127.92	125.14	127.9	88153365	2021-04-07 04:00:00+00:00
128.95	130.39	128.52	130.36	95035670	2021-04-08 04:00:00+00:00
129.8	133.04	129.47	132.995	112957134	2021-04-09 04:00:00+00:00
132.52	132.85	130.63	131.24	92576672	2021-04-12 04:00:00+00:00
132.44	134.66	131.93	134.43	92369073	2021-04-13 04:00:00+00:00
134.94	135.0	131.655	132.03	93010442	2021-04-14 04:00:00+00:00
133.82	135.0	133.64	134.5	90094951	2021-04-15 04:00:00+00:00
134.3	134.67	133.28	134.16	84805117	2021-04-16 04:00:00+00:00
133.51	135.47	133.34	134.84	94957774	2021-04-19 04:00:00+00:00
135.06	135.53	131.81	133.11	95538041	2021-04-20 04:00:00+00:00
132.36	133.75	131.3001	133.5	69552331	2021-04-21 04:00:00+00:00
133.04	134.15	131.41	131.94	89780577	2021-04-22 04:00:00+00:00
132.16	135.12	132.16	134.32	84888565	2021-04-23 04:00:00+00:00
134.83	135.06	133.56	134.72	73315093	2021-04-26 04:00:00+00:00
135.01	135.41	134.11	134.39	70356442	2021-04-27 04:00:00+00:00
134.31	135.02	133.08	133.58	111769456	2021-04-28 04:00:00+00:00
136.47	137.07	132.45	133.48	157181673	2021-04-29 04:00:00+00:00
131.78	133.56	131.065	131.46	118162269	2021-04-30 04:00:00+00:00
132.04	134.07	131.83	132.54	79773508	2021-05-03 04:00:00+00:00
131.19	131.4899	126.7	127.85	146034858	2021-05-04 04:00:00+00:00
129.2	130.45	127.97	128.1	88488165	2021-05-05 04:00:00+00:00
127.89	129.75	127.13	129.74	78807021	2021-05-06 04:00:00+00:00
130.85	131.2582	129.475	130.21	85342759	2021-05-07 04:00:00+00:00
129.41	129.54	126.81	126.85	88933496	2021-05-10 04:00:00+00:00
123.5	126.27	122.77	125.91	133807591	2021-05-11 04:00:00+00:00
123.4	124.64	122.25	122.77	113210244	2021-05-12 04:00:00+00:00
124.58	126.15	124.26	124.97	107081045	2021-05-13 04:00:00+00:00
126.25	127.89	125.85	127.45	90601277	2021-05-14 04:00:00+00:00
126.82	126.93	125.17	126.27	80528553	2021-05-17 04:00:00+00:00
126.56	126.99	124.78	124.85	69129296	2021-05-18 04:00:00+00:00
123.16	124.915	122.86	124.69	100433484	2021-05-19 04:00:00+00:00
125.23	127.72	125.1	127.31	83448984	2021-05-20 04:00:00+00:00
127.82	128.0	125.21	125.43	86829353	2021-05-21 04:00:00+00:00
126.01	127.94	125.94	127.1	69927211	2021-05-24 04:00:00+00:00
127.82	128.32	126.32	126.9	77303825	2021-05-25 04:00:00+00:00
126.955	127.39	126.42	126.85	61288510	2021-05-26 04:00:00+00:00
126.44	127.64	125.08	125.28	116578783	2021-05-27 04:00:00+00:00
125.57	125.8	124.55	124.61	78072288	2021-05-28 04:00:00+00:00
125.08	125.35	123.94	124.28	72144570	2021-06-01 04:00:00+00:00
124.28	125.24	124.05	125.06	63368854	2021-06-02 04:00:00+00:00
124.68	124.85	123.13	123.54	81403526	2021-06-03 04:00:00+00:00
124.07	126.16	123.85	125.89	81427937	2021-06-04 04:00:00+00:00
126.17	126.32	124.8321	125.9	76175714	2021-06-07 04:00:00+00:00
126.6	128.46	126.2101	126.74	79189096	2021-06-08 04:00:00+00:00
127.21	127.75	126.52	127.13	64315610	2021-06-09 04:00:00+00:00
127.02	128.19	125.94	126.11	76816859	2021-06-10 04:00:00+00:00
126.53	127.44	126.1	127.35	58688119	2021-06-11 04:00:00+00:00
127.82	130.54	127.07	130.48	110988351	2021-06-14 04:00:00+00:00
129.945	130.6	129.39	129.64	68883859	2021-06-15 04:00:00+00:00
130.37	130.89	128.461	130.15	100286328	2021-06-16 04:00:00+00:00
129.8	132.55	129.65	131.79	107585192	2021-06-17 04:00:00+00:00
130.71	131.51	130.24	130.46	136408062	2021-06-18 04:00:00+00:00
130.3	132.41	129.21	132.3	90375931	2021-06-21 04:00:00+00:00
132.13	134.08	131.62	133.98	84509149	2021-06-22 04:00:00+00:00
133.77	134.32	133.23	133.7	64616230	2021-06-23 04:00:00+00:00
134.45	134.64	132.93	133.41	75815074	2021-06-24 04:00:00+00:00
133.46	133.89	132.81	133.11	88371762	2021-06-25 04:00:00+00:00
133.41	135.245	133.35	134.78	68112075	2021-06-28 04:00:00+00:00
134.8	136.49	134.35	136.33	68372177	2021-06-29 04:00:00+00:00
136.17	137.41	135.87	136.96	71377665	2021-06-30 04:00:00+00:00
136.6	137.33	135.76	137.27	56342229	2021-07-01 04:00:00+00:00
137.9	140.0	137.745	139.96	84970248	2021-07-02 04:00:00+00:00
140.07	143.15	140.07	142.02	114619239	2021-07-06 04:00:00+00:00
143.535	144.89	142.66	144.57	111746230	2021-07-07 04:00:00+00:00
141.58	144.06	140.665	143.24	112773322	2021-07-08 04:00:00+00:00
142.74	145.65	142.6522	145.11	106619809	2021-07-09 04:00:00+00:00
146.21	146.32	144.0	144.5	83066841	2021-07-12 04:00:00+00:00
144.03	147.46	143.63	145.64	104907532	2021-07-13 04:00:00+00:00
148.1	149.57	147.68	149.15	133484459	2021-07-14 04:00:00+00:00
149.24	150.0	147.09	148.48	112350124	2021-07-15 04:00:00+00:00
148.46	149.76	145.88	146.39	99273558	2021-07-16 04:00:00+00:00
143.75	144.07	141.67	142.45	128811485	2021-07-19 04:00:00+00:00
143.46	147.0997	142.96	146.15	105145185	2021-07-20 04:00:00+00:00
145.53	146.13	144.63	145.4	80366794	2021-07-21 04:00:00+00:00
145.935	148.195	145.81	146.8	81182010	2021-07-22 04:00:00+00:00
147.55	148.7177	146.92	148.56	75925274	2021-07-23 04:00:00+00:00
148.27	149.83	147.7	148.99	79498730	2021-07-26 04:00:00+00:00
149.12	149.21	145.55	146.77	111483119	2021-07-27 04:00:00+00:00
144.81	146.97	142.54	144.98	122965718	2021-07-28 04:00:00+00:00
144.685	146.55	144.58	145.64	60694970	2021-07-29 04:00:00+00:00
144.38	146.33	144.11	145.86	77054702	2021-07-30 04:00:00+00:00
146.36	146.95	145.25	145.52	65875193	2021-08-02 04:00:00+00:00
145.81	148.045	145.18	147.36	68792157	2021-08-03 04:00:00+00:00
147.27	147.79	146.28	146.95	60997440	2021-08-04 04:00:00+00:00
146.98	147.84	146.17	147.06	49379114	2021-08-05 04:00:00+00:00
146.35	147.11	145.63	146.14	59280265	2021-08-06 04:00:00+00:00
146.2	146.7	145.52	146.09	52679515	2021-08-09 04:00:00+00:00
146.44	147.71	145.3	145.6	76706864	2021-08-10 04:00:00+00:00
146.05	146.72	145.53	145.86	51503841	2021-08-11 04:00:00+00:00
146.19	149.05	145.84	148.89	79314067	2021-08-12 04:00:00+00:00
148.97	149.4444	148.27	149.1	62684839	2021-08-13 04:00:00+00:00
148.535	151.19	146.47	151.12	108408089	2021-08-16 04:00:00+00:00
150.23	151.68	149.09	150.19	97169154	2021-08-17 04:00:00+00:00
149.8	150.72	146.15	146.36	91837037	2021-08-18 04:00:00+00:00
145.03	148.0	144.5	146.7	91195765	2021-08-19 04:00:00+00:00
147.44	148.5	146.78	148.19	66952609	2021-08-20 04:00:00+00:00
148.31	150.19	147.89	149.71	64886166	2021-08-23 04:00:00+00:00
149.45	150.86	149.15	149.62	51333221	2021-08-24 04:00:00+00:00
149.81	150.32	147.8	148.36	63460356	2021-08-25 04:00:00+00:00
148.35	149.12	147.51	147.54	51813743	2021-08-26 04:00:00+00:00
147.48	148.75	146.83	148.6	61524446	2021-08-27 04:00:00+00:00
149.0	153.49	148.61	153.12	95242745	2021-08-30 04:00:00+00:00
152.66	152.8	151.29	151.83	99800695	2021-08-31 04:00:00+00:00
152.83	154.98	152.34	152.51	85467867	2021-09-01 04:00:00+00:00
153.87	154.72	152.4	153.65	76171528	2021-09-02 04:00:00+00:00
153.76	154.63	153.09	154.3	61945980	2021-09-03 04:00:00+00:00
154.97	157.26	154.39	156.69	87089441	2021-09-07 04:00:00+00:00
156.98	157.04	153.975	155.11	78745932	2021-09-08 04:00:00+00:00
155.49	156.11	153.95	154.07	60749773	2021-09-09 04:00:00+00:00
155.0	155.48	148.7	148.97	145633564	2021-09-10 04:00:00+00:00
150.63	151.42	148.75	149.55	108978559	2021-09-13 04:00:00+00:00
150.35	151.07	146.91	148.12	116555193	2021-09-14 04:00:00+00:00
148.56	149.44	146.37	149.03	90480232	2021-09-15 04:00:00+00:00
148.44	148.97	147.221	148.79	73991494	2021-09-16 04:00:00+00:00
148.82	148.82	145.76	146.06	157363379	2021-09-17 04:00:00+00:00
143.8	144.84	141.27	142.94	132862932	2021-09-20 04:00:00+00:00
143.93	144.6	142.78	143.43	80978520	2021-09-21 04:00:00+00:00
144.45	146.43	143.7001	145.85	83396381	2021-09-22 04:00:00+00:00
146.65	147.08	145.64	146.83	69827190	2021-09-23 04:00:00+00:00
145.66	147.4701	145.56	146.92	57892722	2021-09-24 04:00:00+00:00
145.47	145.96	143.82	145.37	81180642	2021-09-27 04:00:00+00:00
143.25	144.75	141.69	141.91	122884569	2021-09-28 04:00:00+00:00
142.47	144.45	142.03	142.83	79882926	2021-09-29 04:00:00+00:00
143.66	144.378	141.28	141.5	97495265	2021-09-30 04:00:00+00:00
141.9	142.92	139.1101	142.65	102369995	2021-10-01 04:00:00+00:00
141.76	142.21	138.27	139.14	107234871	2021-10-04 04:00:00+00:00
139.49	142.24	139.36	141.11	87278742	2021-10-05 04:00:00+00:00
139.47	142.15	138.37	142.0	88503163	2021-10-06 04:00:00+00:00
143.06	144.215	142.72	143.29	66148653	2021-10-07 04:00:00+00:00
144.03	144.1781	142.56	142.9	64052249	2021-10-08 04:00:00+00:00
142.27	144.81	141.81	142.81	70311992	2021-10-11 04:00:00+00:00
143.23	143.25	141.0401	141.51	80765444	2021-10-12 04:00:00+00:00
141.235	141.4	139.2	140.91	86222197	2021-10-13 04:00:00+00:00
142.11	143.88	141.51	143.76	76265709	2021-10-14 04:00:00+00:00
143.77	144.895	143.51	144.84	76128380	2021-10-15 04:00:00+00:00
143.445	146.84	143.16	146.55	93988578	2021-10-18 04:00:00+00:00
147.01	149.17	146.55	148.76	80273103	2021-10-19 04:00:00+00:00
148.7	149.7539	148.12	149.26	62144859	2021-10-20 04:00:00+00:00
148.81	149.64	147.87	149.48	65021325	2021-10-21 04:00:00+00:00
149.69	150.18	148.64	148.69	62350286	2021-10-22 04:00:00+00:00
148.68	149.37	147.6211	148.64	55246619	2021-10-25 04:00:00+00:00
149.33	150.84	149.0101	149.32	65096132	2021-10-26 04:00:00+00:00
149.36	149.73	148.49	148.85	63423785	2021-10-27 04:00:00+00:00
149.82	153.165	149.72	152.57	107431920	2021-10-28 04:00:00+00:00
147.215	149.94	146.4128	149.8	134048773	2021-10-29 04:00:00+00:00
148.985	149.7	147.8	148.96	81970123	2021-11-01 04:00:00+00:00
148.66	151.57	148.65	150.02	74553598	2021-11-02 04:00:00+00:00
150.39	151.97	149.82	151.49	61259570	2021-11-03 04:00:00+00:00
151.58	152.43	150.64	150.96	68779002	2021-11-04 04:00:00+00:00
151.89	152.2	150.06	151.28	73859033	2021-11-05 04:00:00+00:00
151.41	151.57	150.16	150.44	59097917	2021-11-08 05:00:00+00:00
150.2	151.428	150.0601	150.81	63603083	2021-11-09 05:00:00+00:00
150.02	150.13	147.85	147.92	71709504	2021-11-10 05:00:00+00:00
148.96	149.43	147.681	147.87	45185257	2021-11-11 05:00:00+00:00
148.43	150.4	147.48	149.99	68760172	2021-11-12 05:00:00+00:00
150.37	151.88	149.43	150.0	65550348	2021-11-15 05:00:00+00:00
149.94	151.488	149.34	151.0	66930120	2021-11-16 05:00:00+00:00
150.995	155.0	150.99	153.49	94580869	2021-11-17 05:00:00+00:00
153.71	158.67	153.05	157.87	147157866	2021-11-18 05:00:00+00:00
157.65	161.02	156.5328	160.55	125740737	2021-11-19 05:00:00+00:00
161.68	165.7	161.0	161.02	123251286	2021-11-22 05:00:00+00:00
161.12	161.8	159.0601	161.41	102409571	2021-11-23 05:00:00+00:00
160.75	162.14	159.64	161.94	73246402	2021-11-24 05:00:00+00:00
159.565	160.45	156.36	156.81	84436757	2021-11-26 05:00:00+00:00
159.37	161.19	158.7901	160.24	96719742	2021-11-29 05:00:00+00:00
159.985	165.52	159.92	165.3	195855642	2021-11-30 05:00:00+00:00
167.48	170.3	164.53	164.77	159673210	2021-12-01 05:00:00+00:00
158.735	164.2	157.8	163.76	146467308	2021-12-02 05:00:00+00:00
164.02	164.96	159.72	161.84	128515972	2021-12-03 05:00:00+00:00
164.29	167.8799	164.28	165.32	119733556	2021-12-06 05:00:00+00:00
169.08	171.58	168.34	171.18	130195598	2021-12-07 05:00:00+00:00
172.125	175.96	170.7	175.08	124936327	2021-12-08 05:00:00+00:00
174.91	176.75	173.92	174.56	117745264	2021-12-09 05:00:00+00:00
175.205	179.63	174.69	179.45	123831479	2021-12-10 05:00:00+00:00
181.115	182.13	175.53	175.74	163487839	2021-12-13 05:00:00+00:00
175.25	177.74	172.21	174.33	152677047	2021-12-14 05:00:00+00:00
175.11	179.5	172.3108	179.3	140881038	2021-12-15 05:00:00+00:00
179.28	181.14	170.75	172.26	160390140	2021-12-16 05:00:00+00:00
169.93	173.47	169.69	171.14	251869214	2021-12-17 05:00:00+00:00
168.28	170.58	167.46	169.75	115492992	2021-12-20 05:00:00+00:00
171.55	173.2	169.12	172.99	97588280	2021-12-21 05:00:00+00:00
